x,y
"-5",26
"-5",23
6,9
"-21",14
"-9",30
7,33
6,-49
35,22
42,-11
32,15
37,21
36,5
14,-47
14,8
27,4
7,21
27,1
39,-23
"-9",25
35,9
26,6
8,33
40,-23
3,-45
41,-15
38,-17
17,23
"-26",9
26,2
5,-50
9,12
41,-19
"-30",4
"-37",-4
26,3
7,26
2,25
7,27
"-21",21
"-11",20
13,33
40,-15
"-28",-34
"-14",20
35,14
33,16
41,-5
21,-38
"-12",17
20,8
"-23",16
"-1",-48
"-31",8
31,12
"-1",-52
"-16",14
"-29",8
21,22
"-36",-3
"-15",22
"-24",14
"-10",24
"-20",-36
11,-48
"-5",-51
"-7",-43
26,-32
8,33
"-34",-29
31,-29
"-38",-25
"-6",27
"-39",-10
"-34",5
43,28
43,-4
"-17",-44
"-32",-29
35,-31
"-36",-1
"-36",-12
44,-10
5,-47
23,-36
"-23",-37
38,-25
35,18
"-32",10
0,-49
"-18",-43
47,32
"-25",16
"-5",24
"-4",24
46,-11
"-37",2
24,4
28,1
41,-14
"-15",23
"-24",15
45,30
24,10
27,17
"-35",13
40,-5
44,-18
0,25
0,17
36,11
29,15
"-38",-15
"-18",19
16,-42
"-33",11
2,22
7,-51
3,28
"-27",-28
"-10",25
"-21",14
42,-9
9,-49
25,2
42,-17
27,4
"-40",-25
20,27
28,-33
33,-24
23,20
"-21",-35
42,21
34,15
27,-35
41,29
"-37",-11
6,-46
"-7",-48
17,32
40,27
10,7
"-26",15
32,13
6,9
0,-46
"-27",-32
37,-23
13,-45
28,8
15,30
"-37",-11
"-14",22
"-39",-9
42,-16
45,-16
"-36",-9
19,27
1,28
21,9
23,9
22,9
"-38",-28
22,-37
30,1
24,20
"-24",-39
"-18",-46
"-22",18
3,-45
21,8
"-24",-28
"-25",16
38,25
42,-12
19,22
7,24
42,3
"-37",-15
15,9
12,9
22,-35
16,0
29,17
22,5
"-28",10
26,-32
"-36",1
"-21",23
0,27
14,1
17,-48
"-22",13
34,14
"-25",-31
"-27",-34
"-41",-10
"-25",-35
"-26",-37
20,22
30,15
"-16",19
21,2
13,9
26,-32
32,10
39,25
"-10",31
45,30
"-31",9
12,-44
41,3
"-41",-12
4,25
4,30
43,2
25,25
32,-30
"-2",-44
23,3
4,31
2,-50
19,7
7,29
43,-14
"-1",-49
38,-10
"-20",21
"-36",-9
"-38",-12
"-7",26
"-40",2
4,30
14,6
3,29
"-24",-37
"-20",24
5,11
"-34",-28
12,-49
24,8
26,7
29,2
39,-19
46,31
39,-11
32,17
29,19
7,12
2,18
"-24",-39
"-29",-35
"-11",30
29,19
"-16",25
39,-2
"-10",24
39,26
"-17",-46
"-7",28
37,18
"-8",30
"-30",-33
33,-29
"-27",13
7,-51
"-27",7
2,32
19,3
37,10
"-41",-21
17,0
"-19",15
"-11",23
"-32",-30
"-28",-32
"-38",-13
5,29
"-14",-48
"-36",8
"-29",-28
"-35",10
"-29",-34
"-11",-47
12,9
36,7
37,19
45,1
"-34",8
37,6
"-13",-51
"-37",6
26,-37
3,20
17,2
"-22",-37
41,24
"-18",-40
1,30
48,35
40,2
"-37",-19
39,-5
28,10
30,-28
39,1
25,7
9,6
43,0
21,27
39,-11
"-19",-44
6,-46
