x,y
61,22
2,-12
"-56",48
51,24
0,-24
36,63
"-9",21
11,65
8,-26
"-56",60
28,59
"-58",50
0,12
54,23
62,49
"-38",18
37,18
"-34",64
0,5
0,-14
19,18
"-49",62
64,27
4,41
"-35",67
4,12
4,50
27,58
65,37
21,60
"-2",25
64,29
8,22
6,67
63,20
63,41
"-25",69
"-32",62
"-7",23
1,75
50,58
4,47
"-1",20
39,58
"-54",23
6,-16
12,64
8,18
45,64
"-63",49
1,39
61,45
35,23
42,26
"-2",76
"-4",62
46,23
"-39",22
40,58
64,55
"-58",46
"-2",-12
0,-40
38,23
"-57",55
"-59",56
0,39
1,17
"-45",21
"-55",58
40,64
50,65
0,8
1,-22
4,-2
5,58
"-40",16
"-58",60
2,67
"-55",46
61,26
"-9",57
2,-19
28,22
6,63
62,60
21,67
66,31
"-59",58
"-1",72
29,22
"-58",22
61,56
1,-7
4,63
45,62
53,21
"-60",52
"-46",20
"-39",60
"-60",50
5,60
50,26
"-18",22
29,18
"-1",56
"-1",-35
1,12
"-3",-40
"-8",18
"-60",25
21,24
19,61
"-1",7
"-60",40
"-6",21
"-1",-5
65,26
8,-14
34,63
"-59",58
54,26
59,46
"-3",-41
"-62",61
"-16",61
5,19
62,60
"-46",65
"-6",23
2,30
60,61
"-19",63
33,62
"-25",66
"-55",54
41,24
51,20
"-1",8
59,61
"-2",-41
"-2",-30
9,62
"-50",62
5,-15
60,55
65,33
60,60
64,48
5,22
"-61",20
"-49",62
50,62
"-42",21
5,12
62,36
0,19
8,59
"-65",31
3,13
3,-31
"-34",21
1,20
"-55",21
"-63",57
"-60",65
2,14
14,17
26,64
2,-10
65,66
5,-16
"-4",19
"-1",-2
"-24",21
56,62
48,65
"-2",78
"-59",39
"-25",66
"-39",64
"-36",22
0,-5
"-45",17
3,32
0,73
8,63
"-48",18
29,60
3,-2
"-58",29
56,66
0,-35
1,-12
"-55",15
"-54",30
"-50",60
"-59",23
"-60",46
"-60",63
30,25
"-57",46
1,-36
"-37",62
"-1",73
51,59
"-13",20
4,57
"-33",66
"-46",58
21,24
"-36",18
0,19
"-1",11
55,56
"-58",50
18,63
"-36",19
34,64
5,-29
"-62",64
22,60
42,21
"-10",21
"-5",21
12,20
"-44",59
"-60",56
50,62
"-21",20
"-21",19
16,22
"-43",20
"-12",23
14,20
51,61
45,22
"-49",18
28,25
"-7",60
65,21
0,13
"-16",24
"-1",28
44,21
3,32
"-60",63
"-29",62
53,60
46,61
25,60
36,22
"-58",31
"-23",26
"-26",20
2,-41
"-62",63
6,-5
3,70
63,42
48,60
1,12
"-60",60
"-62",29
"-3",4
"-2",73
"-26",66
"-3",70
10,61
2,3
4,22
35,26
60,19
4,24
51,23
65,57
3,78
14,67
1,52
"-61",26
"-58",62
"-37",62
34,61
"-54",60
16,21
55,59
"-34",61
59,50
"-3",-12
"-60",47
62,40
"-3",70
"-20",23
4,81
"-51",62
"-32",18
"-45",59
"-58",35
"-47",21
"-55",23
1,42
22,23
"-22",61
27,61
"-4",61
45,22
3,-42
0,-15
"-1",3
26,25
"-52",62
54,66
"-45",56
"-4",53
6,44
22,21
"-41",64
"-60",16
2,41
"-1",42
"-40",65
43,18
"-38",61
"-9",21
"-60",61
"-4",19
61,47
4,-12
60,41
"-59",32
"-7",13
38,23
"-23",58
"-15",20
6,-40
