x,y
25,28
2,31
"-8",12
"-16",31
5,48
"-18",55
"-3",52
9,8
"-21",27
31,32
"-22",28
"-2",5
"-25",55
"-1",12
"-25",30
"-24",55
"-1",5
"-13",56
10,16
"-14",14
0,4
16,38
16,57
26,26
9,16
"-23",57
3,28
0,40
"-24",24
35,44
3,11
33,37
2,7
18,15
0,12
"-24",54
"-8",10
32,52
0,50
2,54
33,30
6,30
"-32",33
2,30
39,47
27,55
11,12
10,8
3,47
3,30
43,43
22,34
30,32
1,52
7,8
"-35",46
"-14",54
8,11
8,56
"-31",33
"-23",29
39,38
1,52
2,1
"-26",29
5,6
"-3",6
"-18",32
21,32
3,20
"-3",5
18,59
29,53
"-25",54
0,39
"-11",55
28,29
32,29
30,54
"-34",45
1,20
22,54
"-24",25
3,32
1,50
3,1
1,55
13,44
25,29
7,11
2,8
"-31",50
8,46
"-35",45
0,7
3,19
"-1",4
27,32
"-20",34
31,49
0,6
17,60
8,47
"-9",58
"-17",28
45,38
2,20
"-25",28
20,54
8,46
14,36
8,48
2,-1
22,34
2,6
4,30
"-14",58
11,11
4,48
"-1",53
10,60
0,52
10,54
"-19",19
30,51
24,25
"-28",51
2,0
"-35",35
"-28",50
24,36
"-35",42
41,41
"-8",40
28,30
28,56
"-1",50
0,6
2,46
"-11",35
"-36",46
24,61
26,28
41,38
"-10",10
4,5
2,48
2,5
"-12",16
2,38
"-34",39
"-15",59
1,18
"-6",11
"-15",57
35,46
25,23
15,54
22,34
19,29
13,39
36,38
10,56
12,53
3,56
16,16
"-14",32
0,52
22,24
18,33
29,32
"-1",5
"-9",57
1,26
26,28
"-6",41
"-5",47
27,28
"-10",40
1,23
"-7",12
37,46
"-1",32
"-33",47
21,60
12,12
10,54
"-23",57
"-37",43
"-20",25
7,60
"-12",36
7,60
"-2",54
32,31
"-2",53
"-1",51
18,58
0,58
"-5",16
1,10
"-8",44
20,26
43,40
5,2
"-38",43
"-18",56
6,3
16,34
"-3",56
"-6",56
6,4
"-19",27
44,41
"-21",53
1,23
7,5
2,18
2,56
8,46
"-10",55
27,26
11,51
4,30
0,8
1,8
35,37
42,39
"-3",5
"-12",34
15,53
"-25",23
"-16",57
"-1",13
"-35",38
8,7
"-8",13
2,47
2,59
"-29",49
"-9",19
"-8",55
"-36",40
4,34
14,54
13,56
0,8
17,38
"-15",22
0,2
9,8
"-6",44
"-16",36
2,28
37,37
1,22
29,24
"-6",48
"-7",13
"-2",47
6,3
20,32
0,13
"-32",47
"-40",41
"-36",44
"-12",56
9,45
29,53
24,59
0,41
19,54
"-11",39
0,45
15,15
"-22",28
25,55
3,29
1,2
0,47
29,26
"-28",50
"-2",7
0,59
"-23",54
"-33",50
10,44
32,30
33,54
1,12
42,39
"-1",11
"-23",56
4,20
"-30",48
1,17
2,20
"-8",44
11,48
"-12",20
0,9
"-31",49
"-30",50
0,51
"-26",25
15,57
5,46
"-17",56
"-1",29
11,10
1,52
3,48
29,24
2,1
10,10
3,30
3,30
"-19",29
19,14
"-13",13
"-33",35
1,29
15,55
"-30",51
"-24",58
"-11",15
"-27",48
"-17",56
0,27
11,11
"-29",50
"-12",57
36,33
0,14
"-25",53
"-30",50
"-17",56
"-31",45
"-35",36
"-9",55
"-35",39
"-24",24
"-1",58
1,26
15,11
"-23",30
27,25
"-8",56
7,10
21,21
26,27
2,37
15,35
4,12
"-3",59
21,61
0,15
"-2",5
31,52
"-4",58
"-1",46
40,41
3,30
23,20
"-37",36
11,54
13,39
"-12",17
"-20",22
"-29",48
26,28
7,30
"-12",57
"-31",47
