x,y
10,85

-45,85
-40,85
-35,85
-30,85
-25,85
-20,85
-15,85
-10,85
-5,85
0,85
5,85
10,85
15,85
20,85
25,85
30,85
35,85
40,85

-25,65
-20,65
-15,65
-10,65
-5,65
0,65
5,65
10,65
15,65


-10,55
-5,55
0,55
5,55


-45,80
-45,75
-45,70
-45,65
-45,60
-45,55
-45,50
-45,45
-45,40
-45,35
-45,30
-45,25
-45,20
-45,15
-45,10
-45,5
-45,0

-25,60
-25,55
-25,50
-25,45
-25,40
-25,35
-25,30
-25,25
-25,20

-15,55
-15,50
-15,45
-15,40
-15,35
-15,30


40,85
40,80
40,75
40,70
40,65
40,60
40,55
40,50
40,45
40,40
40,35
40,30
40,25
40,20
40,15
40,10
40,5
40,0

20,65
20,60
20,55
20,50
20,45
20,40
20,35
20,30
20,25
20,20

10,55
10,50
10,45
10,40
10,35
10,30

-40,0
-35,0
-30,0
-25,0
-20,0
-15,0
-10,0
-5,0
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0

-20,20
-15,20
-10,20
-5,20
0,20
5,20
10,20
15,20
20,20

-10,30
-5,30
0,30
5,30
10,30


-20,-5
-20,-10
-20,-15
-20,-20
-20,-25
-20,-30
-85,15
-80,10
-75,5
-70,0
-65,-5
-90,-15
-85,-20
-80,-25
-75,-30
-70,-35
-65,-40
-60,-45
-55,-50
-50,-50
-45,-50
-40,-50
-35,-50
-30,-50
-25,-50
-20,-50
-15,-50
-10,-50
-5,-50
0,-50
5,-50
10,-50
15,-50
20,-50
25,-50
30,-50
35,-45
40,-40
45,-35
50,-30
-90,-60
-85,-65
-80,-70
-75,-75
-70,-80
-65,-85
