x,y
27,1
14,30
"-36",-12
42,-10
"-6",27
"-39",-20
7,33
34,-32
35,-31
2,9
44,-1
41,-18
27,29
24,1
"-19",-45
"-40",1
"-31",-30
"-36",1
26,7
"-31",-33
43,25
"-17",22
22,21
"-33",11
20,30
34,8
33,0
"-34",-17
4,10
"-1",-51
11,-49
"-9",-48
"-15",22
"-36",-1
19,-2
0,31
"-11",-47
"-34",-28
"-36",-16
19,19
20,0
39,24
4,12
31,2
36,23
"-38",-21
"-20",-45
"-16",19
6,29
25,11
23,11
9,23
"-21",-44
34,-24
"-38",-17
"-41",0
"-36",-9
4,-50
"-2",-53
40,23
12,-44
"-6",25
"-38",-4
26,-39
"-8",24
5,18
"-2",27
"-35",-28
21,23
"-37",-17
"-5",-44
14,1
"-9",30
30,15
"-40",-18
30,-1
35,-27
20,12
9,11
16,30
11,-47
"-38",-12
0,30
11,6
21,0
33,18
"-33",9
"-18",22
22,-41
2,27
42,21
"-4",25
"-40",-15
"-38",-28
28,3
27,8
18,32
35,5
"-31",-26
"-31",-27
"-34",5
5,20
34,12
"-7",31
"-2",-52
43,4
"-8",-49
"-32",7
12,30
"-39",-8
44,-2
37,-23
"-3",24
"-7",-44
36,16
"-12",20
"-25",-36
39,5
"-11",25
"-24",19
31,9
3,-50
"-24",-37
32,12
39,-5
"-34",3
"-3",-43
"-39",-27
"-26",10
"-6",33
10,31
43,24
"-10",-53
4,27
"-33",-6
17,-48
"-29",12
20,-39
36,3
23,22
"-35",-11
"-11",-48
36,-22
4,31
"-29",-31
37,6
"-26",15
40,27
"-5",-47
15,32
29,2
"-25",8
15,27
"-11",-50
37,-28
21,27
"-21",-36
"-23",-40
40,-4
3,13
"-35",-7
12,4
9,17
44,-5
37,-17
"-40",2
"-7",32
"-2",-49
"-25",-40
40,-23
9,25
"-8",-52
"-14",18
26,12
"-30",10
"-36",-25
"-7",26
9,34
"-30",-34
7,31
15,28
22,-35
43,-2
15,30
45,32
"-41",-17
5,-50
22,3
13,32
0,23
"-15",18
13,24
"-30",12
10,27
4,28
46,31
38,-25
22,0
"-28",-33
24,9
"-5",-45
"-18",24
"-10",-48
"-26",-38
34,6
18,-1
15,-41
"-8",25
14,28
29,9
44,31
33,15
41,-16
19,-39
21,6
11,35
1,25
"-4",-52
17,2
6,-44
24,16
43,29
38,27
33,17
31,16
"-1",26
13,-42
"-21",-38
"-2",-51
"-32",-30
"-38",-23
"-37",-13
"-1",28
31,5
"-25",12
"-26",14
3,33
28,20
"-36",-3
24,11
15,6
"-14",-46
"-38",-24
16,29
5,26
1,20
31,-30
18,-39
"-27",-41
19,21
31,12
0,15
"-5",26
30,16
9,28
3,31
28,4
27,3
"-37",-2
"-14",-47
"-34",-27
"-19",23
1,18
"-28",17
19,3
4,30
1,33
28,11
"-14",22
"-38",7
16,-45
"-38",-2
"-20",17
30,-34
27,13
5,-49
"-41",-14
42,-6
9,13
44,-20
34,2
"-23",13
"-1",-41
22,-38
26,19
26,15
20,-1
"-38",-16
"-38",-11
"-23",-38
37,5
11,24
"-8",29
"-33",-25
15,-43
18,28
25,24
"-38",-3
"-24",-38
6,-46
"-28",13
20,3
23,-32
37,18
7,10
37,23
20,20
"-33",10
19,-37
9,12
"-36",-14
0,25
"-18",-45
"-10",24
35,12
40,-24
"-29",-28
25,5
"-24",-39
35,17
25,18
10,7
"-18",20
"-24",18
20,-40
"-40",-14
"-25",-37
34,-28
"-36",0
45,31
28,-34
32,-29
"-13",-49
"-1",-42
10,29
"-39",-21
"-1",18
"-40",0
34,-23
"-13",23
47,34
36,-28
19,22
43,28
24,-34
28,-33
41,25
27,-35
47,0
17,-1
25,15
"-38",-8
"-22",-38
23,-35
"-41",-26
"-5",24
3,19
"-20",-36
36,20
17,24
"-35",-10
42,-3
31,-36
"-15",-39
19,-47
34,1
43,26
14,-41
"-37",-3
"-28",-30
"-32",6
40,3
33,-24
15,-2
"-39",-2
"-11",-51
18,23
35,18
"-1",-49
6,30
"-37",-20
"-42",-4
"-28",11
"-42",-27
6,14
"-2",17
45,-2
"-22",16
10,25
"-1",-52
26,16
6,-48
"-21",14
"-15",23
23,7
16,28
39,21
"-35",7
"-15",30
"-41",-12
4,15
25,8
3,34
19,26
37,10
28,12
37,-22
42,-20
"-16",-49
14,-42
40,-11
2,32
28,-36
0,26
28,28
"-7",30
7,-51
"-6",-48
"-17",-41
"-38",1
18,27
22,24
12,-45
8,-47
"-10",-51
33,16
"-26",-40
26,18
"-21",23
"-39",2
41,29
10,30
"-10",23
5,12
24,8
"-33",8
42,-9
38,22
33,11
7,29
