x,y
-96,0
60,-84
55,-86
-78,53
60,-89
-78,61
74,-12
-87,-3
8,-89
-77,-22
-99,0
7,-81
-92,5
73,-14
55,-83
2,-86
-78,56
9,-89
-95,-2
-94,6
75,-18
6,-78
61,-83
-96,7
-53,-18
-95,7
90,4
60,-84
-74,-21
72,-16
72,-15
-79,-23
-53,-18
8,-85
-100,9
-81,-22
-53,-19
74,-20
-96,1
4,-87
-72,-62
9,-85
-53,-14
74,-11
1,-85
59,-83
-71,-70
78,-17
-93,0
-76,-23
-53,-14
90,5
4,-88
-46,-14
90,5
-50,-14
-51,-17
7,-84
5,-86
73,-9
1,-83
-79,-22
-77,-25
-92,5
-73,-66
-92,9
69,-15
5,-76
2,-86
-1,-87
-54,-10
3,-87
2,-86
59,-88
67,-16
-96,-1
60,-78
-75,-18
75,-6
73,-15
-79,-22
3,-90
13,-92
-93,3
-91,2
2,-86
5,-76
-55,-15
73,-7
-3,-82
70,-12
0,-84
57,-86
60,-92
14,-85
-80,62
-95,0
3,-79
12,-92
-94,4
55,-86
-55,-15
-94,6
14,-90
65,-16
-76,57
-89,8
-92,2
-90,1
-79,-18
71,-10
-93,7
-50,-17
59,-83
3,-76
62,-85
-76,-29
-92,2
-52,-22
-91,1
64,-15
66,-18
-48,-8
4,-82
-51,-9
-71,56
3,-83
9,-80
-79,-28
15,-85
-99,14
-53,-14
8,-80
-55,-26
-70,-64
-56,-12
-92,8
-50,-14
-77,54
-55,-13
-100,-1
-69,-65
-55,-15
-90,3
-53,-11
77,-16
79,-77
-77,57
-80,-21
1,-82
65,-15
72,-19
8,-88
74,-15
60,-84
58,-88
-87,6
71,-9
-90,1
-82,-27
12,-90
-71,-17
6,-83
-55,-14
8,-80
-69,-67
-66,-67
73,-19
-95,5
72,-20
69,-16
-95,9
59,-90
-54,-15
70,-18
12,-95
-73,-20
-53,-17
-91,2
-99,4
-80,59
10,-88
-94,5
-57,-16
79,-22
2,-84
-93,8
-52,-22
-99,-2
-94,4
-48,-23
73,-13
-93,2
60,-85
80,-21
4,-82
-53,-17
9,-86
-54,-12
-77,54
-81,-22
6,-81
65,-16
-71,-24
9,-84
1,-79
70,-15
60,-77
-73,-66
-96,3
94,1
-93,-2
56,-90
-79,-22
70,-14
-1,-90
8,-89
-94,9
-93,6
68,-13
74,-14
67,-14
-96,11
70,-14
92,4
72,-22
-52,-18
14,-84
73,-19
73,-20
-2,-84
8,-89
-51,-16
-67,-19
13,-85
-92,-2
-94,4
94,3
-1,-87
-92,-1
-90,4
-55,-15
-90,4
0,-80
58,-87
68,-19
9,-85
-95,2
6,-86
73,-21
-51,-18
58,-86
-6,-48
-89,5
-78,-22
9,-84
2,-83
-82,59
-92,3
-4,-52
5,-85
-54,-11
-75,57
72,-20
10,-80
69,-17
-92,4
71,-19
-70,-63
-50,-20
56,-87
0,-53
79,-6
61,-76
79,-77
-95,0
-53,-17
62,-83
59,-85
71,-12
-55,-12
59,-85
-49,-17
-72,-20
58,-86
6,-83
-45,-18
4,-85
-76,-14
-100,8
-50,-13
-79,-21
7,-82
-79,-19
58,-86
70,-15
92,5
-74,55
-53,-20
-97,9
-45,-16
-75,59
70,-15
73,-9
5,-85
-51,-21
-93,11
-82,-22
-79,63
-79,-24
-92,2
-78,55
13,-85
-98,8
72,-12
-74,-20
-51,-15
-2,-83
-76,56
-77,-18
73,-13
-48,-15
-79,-22
-1,-49
61,-83
-3,-55
-47,-18
63,-84
-76,-31
76,-8
-92,2
14,-90
-53,-20
72,-16
9,-90
-79,-22
64,-85
-76,-18
-96,7
91,1
75,-20
-76,-23
0,-85
-55,-15
11,-87
-87,5
65,-16
-79,-19
-82,-25
-95,10
4,-85
-95,-1
-77,-28
-77,-18
-94,2
5,-82
5,-86
-54,-14
57,-86
-2,-51
57,-84
71,-15
-93,4
-72,-25
-88,4
-96,5
-79,-27
6,-84
-48,-13
70,-15
75,-13
-52,-16
-96,6
-95,4
3,-84
10,-89
5,-78
-51,-17
6,-83
8,-83
73,-10
60,-86
-77,-20
-76,-20
10,-83
-70,-66
-67,-68
-73,-62
-94,6
-92,4
74,-11
-79,-21
1,-86
9,-89
7,-84
-94,6
-45,-18
-94,3
73,-18
-1,-57
69,-15
3,-86
-91,3
-80,56
-95,7
71,-19
71,-17
-79,56
-79,-22
5,-86
58,-87
72,-9
5,-73
0,-87
61,-83
71,-20
-54,-14
5,-84
76,-19
-74,-21
-55,-17
6,-85
1,-81
7,-86
-77,61
-53,-17
70,-16
2,-86
-81,-21
60,-83
-51,-18
-80,-23
66,-13
-87,2
9,-86
-89,2
74,-9
66,-16
60,-88
-97,5
-40,-17
0,-85
-58,-13
-96,8
76,-8
-97,6
6,-85
-96,6
72,-19
9,-90
6,-86
-89,-3
6,-83
-51,-16
75,-11
10,-86
-75,59
-100,8
-91,-3
-51,-13
72,-18
-52,-17
2,-89
14,-85
-53,-14
-48,-19
60,-83
10,-89
59,-89
-75,-20
2,-83
9,-89
-76,57
-71,-68
7,-87
91,7
-87,7
-92,5
97,5
-73,-70
4,-76
58,-81
-2,-49
73,-15
59,-88
-93,2
-86,9
11,-90
74,-7
5,-86
-77,63
-100,9
59,-89
71,-18
77,-76
-94,3
-92,4
-79,-25
-90,-1
-94,2
